_id,Data Extract Date,Overdose Death Year,Overdose Death Drug Class,Overdose Death Geography Level,Overdose Death FIPS,Overdose Death Geography Name,Overdose Death Health District,Overdose Death Count,"Overdose Death Rate per 100,000 Residents"
1,6/2/2025,2021,Any Opioids,Locality,51175,Southampton County,Western Tidewater,2,11.3
2,6/2/2025,2021,Benzodiazepine,Locality,51147,Prince Edward County,Piedmont,0,0
3,6/2/2025,2020,Any Opioids,Locality,51690,Martinsville City,West Piedmont,8,64.8
4,6/2/2025,2025†,Natural and Semi-Synthetic Opioids,Locality,51027,Buchanan County,Cumberland Plateau,0,0
5,6/2/2025,2019,Benzodiazepine,Locality,51187,Warren County,Lord Fairfax,5,12.4
6,6/2/2025,2022,Psychostimulant,Locality,51735,Poquoson City,Peninsula,0,0
7,6/2/2025,2024^,Methadone,Locality,51053,Dinwiddie County,Crater,0,0
8,6/2/2025,2019,Natural and Semi-Synthetic Opioids,Locality,51113,Madison County,Rappahannock/Rapidan,2,15.1
9,6/2/2025,2024^,Heroin,Locality,51035,Carroll County,Mount Rogers,0,0
10,6/2/2025,2023,Any Opioids,Locality,51057,Essex County,Three Rivers,1,9.1
11,6/2/2025,2021,Fentanyl and Other Synthetic Opioids,Locality,51041,Chesterfield County,Chesterfield,118,32.9
12,6/2/2025,2021,Psychostimulant,Locality,51179,Stafford County,Rappahannock,9,5.7
13,6/2/2025,2025†,Heroin,Locality,51036,Charles City County,Chickahominy,0,0
14,6/2/2025,2024^,Cocaine,Locality,51139,Page County,Lord Fairfax,0,0
15,6/2/2025,2019,Methadone,Locality,51830,Williamsburg City,Peninsula,0,0
16,6/2/2025,2022,Psychostimulant,Locality,51125,Nelson County,Blue Ridge,1,6.8
17,6/2/2025,2023,Cocaine,Locality,51610,Falls Church City,Fairfax,1,6.8
18,6/2/2025,2020,Cocaine,Locality,51161,Roanoke County,Alleghany,4,4.2
19,6/2/2025,2022,Benzodiazepine,Locality,51199,York County,Peninsula,0,0
20,6/2/2025,2020,Methadone,Locality,51159,Richmond County,Three Rivers,0,0
21,6/2/2025,2024^,All-Drug,Locality,51155,Pulaski County,New River,16,47.1
22,6/2/2025,2021,Methadone,Locality,51131,Northampton County,Eastern Shore,0,0
23,6/2/2025,2022,Methadone,Locality,51099,King George County,Rappahannock,0,0
24,6/2/2025,2022,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51097,King and Queen County,Three Rivers,0,0
25,6/2/2025,2024^,Psychostimulant,Locality,51027,Buchanan County,Cumberland Plateau,5,24.3
26,6/2/2025,2022,Benzodiazepine,Locality,51197,Wythe County,Mount Rogers,0,0
27,6/2/2025,2023,Fentanyl and Other Synthetic Opioids,Locality,51650,Hampton City,Hampton,39,28.8
28,6/2/2025,2023,Methadone,Locality,51193,Westmoreland County,Three Rivers,1,5.5
29,6/2/2025,2020,Psychostimulant,Locality,51009,Amherst County,Central Virginia,4,12.6
30,6/2/2025,2021,Fentanyl and Other Synthetic Opioids,Locality,51800,Suffolk City,Western Tidewater,31,33
31,6/2/2025,2023,Any Opioids,Locality,51183,Sussex County,Crater,3,27.5
32,6/2/2025,2020,Natural and Semi-Synthetic Opioids,Locality,51181,Surry County,Crater,0,0
33,6/2/2025,2021,Heroin,Locality,51127,New Kent County,Chickahominy,3,12.7
34,6/2/2025,2019,Cocaine,Locality,51063,Floyd County,New River,0,0
35,6/2/2025,2020,Psychostimulant,Locality,51003,Albemarle County,Blue Ridge,3,2.7
36,6/2/2025,2019,All-Drug,Locality,51595,Emporia City,Crater,0,0
37,6/2/2025,2020,Benzodiazepine,Locality,51011,Appomattox County,Central Virginia,1,6.2
38,6/2/2025,2025†,Heroin,Locality,51660,Harrisonburg City,Central Shenandoah,0,0
39,6/2/2025,2023,Fentanyl and Other Synthetic Opioids,Locality,51017,Bath County,Central Shenandoah,3,72.8
40,6/2/2025,2021,Any Opioids,Locality,51059,Fairfax County,Fairfax,107,9.3
41,6/2/2025,2024^,Methadone,Locality,51740,Portsmouth City,Portsmouth,4,4.2
42,6/2/2025,2021,Cocaine,Locality,51009,Amherst County,Central Virginia,0,0
43,6/2/2025,2023,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51067,Franklin County,West Piedmont,4,7.1
44,6/2/2025,2020,All-Drug,Locality,51760,Richmond City,Richmond City,146,62.9
45,6/2/2025,2024^,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51167,Russell County,Cumberland Plateau,1,3.8
46,6/2/2025,2019,Natural and Semi-Synthetic Opioids,Locality,51057,Essex County,Three Rivers,0,0
47,6/2/2025,2022,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51670,Hopewell City,Crater,4,17.9
48,6/2/2025,2024^,Heroin,Locality,51113,Madison County,Rappahannock/Rapidan,0,0
49,6/2/2025,2021,Cocaine,Locality,51003,Albemarle County,Blue Ridge,4,3.6
50,6/2/2025,2022,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51165,Rockingham County,Central Shenandoah,10,12.1
51,6/2/2025,2020,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51107,Loudoun County,Loudoun,6,1.4
52,6/2/2025,2025†,Cocaine,Locality,51033,Caroline County,Rappahannock,0,0
53,6/2/2025,2021,Cocaine,Locality,51580,Covington City,Alleghany,0,0
54,6/2/2025,2023,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51171,Shenandoah County,Lord Fairfax,7,15.9
55,6/2/2025,2020,Natural and Semi-Synthetic Opioids,Locality,51183,Sussex County,Crater,0,0
56,6/2/2025,2022,Heroin,Locality,51017,Bath County,Central Shenandoah,0,0
57,6/2/2025,2019,Fentanyl and Other Synthetic Opioids,Locality,51027,Buchanan County,Cumberland Plateau,0,0
58,6/2/2025,2020,Methadone,Locality,51079,Greene County,Blue Ridge,0,0
59,6/2/2025,2023,Any Opioids,Locality,51181,Surry County,Crater,1,15.7
60,6/2/2025,2023,All-Drug,Locality,51115,Mathews County,Three Rivers,0,0
61,6/2/2025,2020,Cocaine,Locality,51111,Lunenburg County,Piedmont,0,0
62,6/2/2025,2023,Psychostimulant,Locality,51103,Lancaster County,Three Rivers,0,0
63,6/2/2025,2019,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51171,Shenandoah County,Lord Fairfax,4,9.2
64,6/2/2025,2022,Fentanyl and Other Synthetic Opioids,Locality,51089,Henry County,West Piedmont,34,67.6
65,6/2/2025,2024^,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51007,Amelia County,Piedmont,4,30.7
66,6/2/2025,2023,Methadone,Locality,51041,Chesterfield County,Chesterfield,5,1.4
67,6/2/2025,2020,Methadone,Locality,51840,Winchester City,Lord Fairfax,1,3.6
68,6/2/2025,2019,Natural and Semi-Synthetic Opioids,Locality,51155,Pulaski County,New River,5,14.7
69,6/2/2025,2022,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51999,Unknown,Unknown,0,N/A
70,6/2/2025,2025†,Fentanyl and Other Synthetic Opioids,Locality,51113,Madison County,Rappahannock/Rapidan,0,0
71,6/2/2025,2020,Cocaine,Locality,51640,Galax City,Mount Rogers,0,0
72,6/2/2025,2019,Any Opioids,Locality,51077,Grayson County,Mount Rogers,1,6.4
73,6/2/2025,2022,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51550,Chesapeake City,Chesapeake,8,3.2
74,6/2/2025,2023,Natural and Semi-Synthetic Opioids,Locality,51680,Lynchburg City,Central Virginia,2,2.5
75,6/2/2025,2022,Cocaine,Locality,51830,Williamsburg City,Peninsula,1,6.6
76,6/2/2025,2022,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51720,Norton City,Lenowisco,0,0
77,6/2/2025,2023,Natural and Semi-Synthetic Opioids,Locality,51137,Orange County,Rappahannock/Rapidan,1,2.7
78,6/2/2025,2021,Fentanyl and Other Synthetic Opioids,Locality,51111,Lunenburg County,Piedmont,2,16.3
79,6/2/2025,2025†,All-Drug,Locality,51019,Bedford County,Central Virginia,*,*
80,6/2/2025,2025†,Natural and Semi-Synthetic Opioids,Locality,51595,Emporia City,Crater,0,0
81,6/2/2025,2019,Methadone,Locality,51165,Rockingham County,Central Shenandoah,0,0
82,6/2/2025,2019,Any Opioids,Locality,51017,Bath County,Central Shenandoah,0,0
83,6/2/2025,2019,Methadone,Locality,51043,Clarke County,Lord Fairfax,2,13.7
84,6/2/2025,2022,Psychostimulant,Locality,51135,Nottoway County,Piedmont,4,26.4
85,6/2/2025,2020,All-Drug,Locality,51027,Buchanan County,Cumberland Plateau,4,19.4
86,6/2/2025,2023,"Natural, Semi-Synthetic and Synthetic Opioids",Locality,51685,Manassas Park City,Prince William,2,11.1
87,6/2/2025,2022,Natural and Semi-Synthetic Opioids,Locality,51187,Warren County,Lord Fairfax,1,2.5
88,6/2/2025,2019,Natural and Semi-Synthetic Opioids,Locality,51199,York County,Peninsula,1,1.5
89,6/2/2025,2022,All-Drug,Locality,51830,Williamsburg City,Peninsula,3,19.7
90,6/2/2025,2020,Cocaine,Locality,51027,Buchanan County,Cumberland Plateau,0,0
91,6/2/2025,2019,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51685,Manassas Park City,Prince William,1,5.7
92,6/2/2025,2020,Methadone,Locality,51029,Buckingham County,Piedmont,0,0
93,6/2/2025,2024^,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51630,Fredericksburg City,Rappahannock,0,0
94,6/2/2025,2019,Methadone,Locality,51013,Arlington County,Arlington,1,0.4
95,6/2/2025,2019,Benzodiazepine,Locality,51075,Goochland County,Chickahominy,0,0
96,6/2/2025,2022,Benzodiazepine,Locality,51710,Norfolk City,Norfolk City,8,3.3
97,6/2/2025,2021,Methadone,Locality,51071,Giles County,New River,0,0
98,6/2/2025,2019,Natural and Semi-Synthetic Opioids,Locality,51750,Radford City,New River,0,0
99,6/2/2025,2022,Cocaine,Locality,51595,Emporia City,Crater,0,0
100,6/2/2025,2025†,Benzodiazepine,Locality,51045,Craig County,Alleghany,0,0
101,6/2/2025,2020,Methadone,Locality,51683,Manassas City,Prince William,0,0
102,6/2/2025,2019,Heroin,Locality,51087,Henrico County,Henrico,39,11.8
103,6/2/2025,2024^,Heroin,Locality,51830,Williamsburg City,Peninsula,0,0
104,6/2/2025,2025†,Benzodiazepine,Locality,51141,Patrick County,West Piedmont,0,0
105,6/2/2025,2019,Fentanyl and Other Synthetic Opioids,Locality,51191,Washington County,Mount Rogers,6,11.2
106,6/2/2025,2022,Benzodiazepine,Locality,51091,Highland County,Central Shenandoah,0,0
107,6/2/2025,2020,"Prescription Pain Relievers: Natural, Semi-Synthetic and Methadone",Locality,51049,Cumberland County,Piedmont,0,0
108,6/2/2025,2025†,Benzodiazepine,Locality,51069,Frederick County,Lord Fairfax,0,0
109,6/2/2025,2023,Heroin,Locality,51019,Bedford County,Central Virginia,2,2.5
