,_id,Data Extract Date,Overdose Death Year,Overdose Death Drug Class,Overdose Death Geography Level,Overdose Death FIPS,Overdose Death Geography Name,Overdose Death Health District,Overdose Death Count,"Overdose Death Rate per 100,000 Residents",County,Latitude,Longitude
0,1,6/2/2025,2021,Any Opioids,Locality,51175,Southampton County,Western Tidewater,2,11.3,Southampton County,36.6959378,-77.1586002
1,2,6/2/2025,2021,Benzodiazepine,Locality,51147,Prince Edward County,Piedmont,0,0,Prince Edward County,37.2293293,-78.4628573
2,3,6/2/2025,2020,Any Opioids,Locality,51690,Martinsville City,West Piedmont,8,64.8,Martinsville City,36.6909706,-79.8750387
3,4,6/2/2025,2025†,Natural and Semi-Synthetic Opioids,Locality,51027,Buchanan County,Cumberland Plateau,0,0,Buchanan County,37.2600448,-82.0320334
4,5,6/2/2025,2019,Benzodiazepine,Locality,51187,Warren County,Lord Fairfax,5,12.4,Warren County,38.9131907,-78.2096656
5,6,6/2/2025,2022,Psychostimulant,Locality,51735,Poquoson City,Peninsula,0,0,Poquoson City,37.1218129,-76.3965063
6,7,6/2/2025,2024^,Methadone,Locality,51053,Dinwiddie County,Crater,0,0,Dinwiddie County,37.0712818,-77.6480714
7,8,6/2/2025,2019,Natural and Semi-Synthetic Opioids,Locality,51113,Madison County,Rappahannock/Rapidan,2,15.1,Madison County,38.4114615,-78.2846634
8,9,6/2/2025,2024^,Heroin,Locality,51035,Carroll County,Mount Rogers,0,0,Carroll County,36.7365816,-80.7439791
9,10,6/2/2025,2023,Any Opioids,Locality,51057,Essex County,Three Rivers,1,9.1,Essex County,37.9140592,-76.9326385
10,11,6/2/2025,2021,Fentanyl and Other Synthetic Opioids,Locality,51041,Chesterfield County,Chesterfield,118,32.9,Chesterfield County,37.3859982,-77.578509
11,12,6/2/2025,2021,Psychostimulant,Locality,51179,Stafford County,Rappahannock,9,5.7,Stafford County,38.4167265,-77.4579783
12,13,6/2/2025,2025†,Heroin,Locality,51036,Charles City County,Chickahominy,0,0,Charles City County,37.3705777,-77.0605098
13,14,6/2/2025,2024^,Cocaine,Locality,51139,Page County,Lord Fairfax,0,0,Page County,38.6002354,-78.5016516
14,15,6/2/2025,2019,Methadone,Locality,51830,Williamsburg City,Peninsula,0,0,Williamsburg City,37.2752185,-76.7086408
15,16,6/2/2025,2022,Psychostimulant,Locality,51125,Nelson County,Blue Ridge,1,6.8,Nelson County,37.7755351,-78.8973622
16,17,6/2/2025,2023,Cocaine,Locality,51610,Falls Church City,Fairfax,1,6.8,Falls Church City,38.880517,-77.1796109
17,18,6/2/2025,2020,Cocaine,Locality,51161,Roanoke County,Alleghany,4,4.2,Roanoke County,37.2377673,-80.0759642
18,19,6/2/2025,2022,Benzodiazepine,Locality,51199,York County,Peninsula,0,0,York County,37.2230374,-76.5156945
19,20,6/2/2025,2020,Methadone,Locality,51159,Richmond County,Three Rivers,0,0,Richmond County,37.9476108,-76.7161921
20,21,6/2/2025,2024^,All-Drug,Locality,51155,Pulaski County,New River,16,47.1,Pulaski County,37.0580572,-80.7297289
21,22,6/2/2025,2021,Methadone,Locality,51131,Northampton County,Eastern Shore,0,0,Northampton County,37.3688433,-75.9265679
22,23,6/2/2025,2022,Methadone,Locality,51099,King George County,Rappahannock,0,0,King George County,38.2786312,-77.175356
